Parameter,,,,
Table Analyzed,Interburst Interval,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.754,2.367,0.6129,0.5292 to 0.6966
  Yan,1.387,1.944,0.5567,0.4730 to 0.6404
,,,,
Model,Difference,t,P value,Summary
  TB,0.6129,27.43,P<0.001,***
  Yan,0.5567,24.91,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.754,1.274,-0.4800,-0.5525 to -0.4075
  Yan,1.387,1.632,0.2451,0.1614 to 0.3288
,,,,
Model,Difference,t,P value,Summary
  TB,-0.4800,24.80,P<0.001,***
  Yan,0.2451,10.97,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.754,3.406,1.652,1.568 to 1.736
  Yan,1.387,3.384,1.997,1.914 to 2.081
,,,,
Model,Difference,t,P value,Summary
  TB,1.652,73.93,P<0.001,***
  Yan,1.997,89.38,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.754,3.357,1.603,1.519 to 1.686
  Yan,1.387,3.332,1.945,1.861 to 2.029
,,,,
Model,Difference,t,P value,Summary
  TB,1.603,71.72,P<0.001,***
  Yan,1.945,87.04,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.754,3.302,1.548,1.465 to 1.632
  Yan,1.387,3.274,1.886,1.803 to 1.970
,,,,
Model,Difference,t,P value,Summary
  TB,1.548,69.29,P<0.001,***
  Yan,1.886,84.42,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.754,3.226,1.472,1.388 to 1.555
  Yan,1.387,3.064,1.677,1.593 to 1.760
,,,,
Model,Difference,t,P value,Summary
  TB,1.472,65.85,P<0.001,***
  Yan,1.677,75.03,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.754,3.106,1.352,1.268 to 1.435
  Yan,1.387,2.755,1.368,1.284 to 1.452
,,,,
Model,Difference,t,P value,Summary
  TB,1.352,60.49,P<0.001,***
  Yan,1.368,61.22,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.407,1.150,-0.2573,-0.3410 to -0.1736
  Yan,1.046,0.8258,-0.2201,-0.3038 to -0.1364
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2573,11.51,P<0.001,***
  Yan,-0.2201,9.852,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.407,3.343,1.936,1.852 to 2.020
  Yan,1.046,3.341,2.295,2.211 to 2.379
,,,,
Model,Difference,t,P value,Summary
  TB,1.936,86.63,P<0.001,***
  Yan,2.295,102.7,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.407,3.256,1.849,1.765 to 1.933
  Yan,1.046,3.080,2.034,1.951 to 2.118
,,,,
Model,Difference,t,P value,Summary
  TB,1.849,82.74,P<0.001,***
  Yan,2.034,91.04,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.407,2.876,1.469,1.386 to 1.553
  Yan,1.046,2.451,1.405,1.321 to 1.489
,,,,
Model,Difference,t,P value,Summary
  TB,1.469,65.75,P<0.001,***
  Yan,1.405,62.87,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.407,2.367,0.9601,0.8764 to 1.044
  Yan,1.046,1.944,0.8979,0.8142 to 0.9816
,,,,
Model,Difference,t,P value,Summary
  TB,0.9601,42.96,P<0.001,***
  Yan,0.8979,40.18,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.407,1.274,-0.1328,-0.2053 to -0.06031
  Yan,1.046,1.632,0.5864,0.5027 to 0.6701
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1328,6.862,P<0.001,***
  Yan,0.5864,26.24,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.407,3.406,1.999,1.915 to 2.083
  Yan,1.046,3.384,2.339,2.255 to 2.422
,,,,
Model,Difference,t,P value,Summary
  TB,1.999,89.47,P<0.001,***
  Yan,2.339,104.7,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.407,3.357,1.950,1.866 to 2.034
  Yan,1.046,3.332,2.286,2.203 to 2.370
,,,,
Model,Difference,t,P value,Summary
  TB,1.950,87.26,P<0.001,***
  Yan,2.286,102.3,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.407,3.302,1.896,1.812 to 1.979
  Yan,1.046,3.274,2.228,2.144 to 2.311
,,,,
Model,Difference,t,P value,Summary
  TB,1.896,84.83,P<0.001,***
  Yan,2.228,99.69,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.407,3.226,1.819,1.735 to 1.902
  Yan,1.046,3.064,2.018,1.934 to 2.101
,,,,
Model,Difference,t,P value,Summary
  TB,1.819,81.39,P<0.001,***
  Yan,2.018,90.30,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.407,3.106,1.699,1.615 to 1.783
  Yan,1.046,2.755,1.709,1.626 to 1.793
,,,,
Model,Difference,t,P value,Summary
  TB,1.699,76.03,P<0.001,***
  Yan,1.709,76.49,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.150,3.343,2.193,2.110 to 2.277
  Yan,0.8258,3.341,2.515,2.431 to 2.599
,,,,
Model,Difference,t,P value,Summary
  TB,2.193,98.15,P<0.001,***
  Yan,2.515,112.6,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.150,3.256,2.106,2.022 to 2.190
  Yan,0.8258,3.080,2.254,2.171 to 2.338
,,,,
Model,Difference,t,P value,Summary
  TB,2.106,94.25,P<0.001,***
  Yan,2.254,100.9,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.150,2.876,1.727,1.643 to 1.810
  Yan,0.8258,2.451,1.625,1.541 to 1.709
,,,,
Model,Difference,t,P value,Summary
  TB,1.727,77.26,P<0.001,***
  Yan,1.625,72.73,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.150,2.367,1.217,1.134 to 1.301
  Yan,0.8258,1.944,1.118,1.034 to 1.202
,,,,
Model,Difference,t,P value,Summary
  TB,1.217,54.48,P<0.001,***
  Yan,1.118,50.04,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.150,1.274,0.1245,0.05202 to 0.1970
  Yan,0.8258,1.632,0.8065,0.7228 to 0.8902
,,,,
Model,Difference,t,P value,Summary
  TB,0.1245,6.434,P<0.001,***
  Yan,0.8065,36.09,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.150,3.406,2.256,2.173 to 2.340
  Yan,0.8258,3.384,2.559,2.475 to 2.642
,,,,
Model,Difference,t,P value,Summary
  TB,2.256,101.0,P<0.001,***
  Yan,2.559,114.5,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.150,3.357,2.207,2.123 to 2.291
  Yan,0.8258,3.332,2.506,2.423 to 2.590
,,,,
Model,Difference,t,P value,Summary
  TB,2.207,98.77,P<0.001,***
  Yan,2.506,112.2,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.150,3.302,2.153,2.069 to 2.237
  Yan,0.8258,3.274,2.448,2.364 to 2.531
,,,,
Model,Difference,t,P value,Summary
  TB,2.153,96.34,P<0.001,***
  Yan,2.448,109.5,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.150,3.226,2.076,1.992 to 2.160
  Yan,0.8258,3.064,2.238,2.154 to 2.322
,,,,
Model,Difference,t,P value,Summary
  TB,2.076,92.91,P<0.001,***
  Yan,2.238,100.1,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.150,3.106,1.956,1.873 to 2.040
  Yan,0.8258,2.755,1.929,1.846 to 2.013
,,,,
Model,Difference,t,P value,Summary
  TB,1.956,87.54,P<0.001,***
  Yan,1.929,86.34,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.343,3.256,-0.08709,-0.1708 to -0.003390
  Yan,3.341,3.080,-0.2607,-0.3444 to -0.1770
,,,,
Model,Difference,t,P value,Summary
  TB,-0.08709,3.897,P<0.001,***
  Yan,-0.2607,11.67,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.343,2.876,-0.4667,-0.5504 to -0.3830
  Yan,3.341,2.451,-0.8901,-0.9737 to -0.8064
,,,,
Model,Difference,t,P value,Summary
  TB,-0.4667,20.88,P<0.001,***
  Yan,-0.8901,39.83,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.343,2.367,-0.9758,-1.060 to -0.8921
  Yan,3.341,1.944,-1.397,-1.481 to -1.313
,,,,
Model,Difference,t,P value,Summary
  TB,-0.9758,43.67,P<0.001,***
  Yan,-1.397,62.52,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.343,1.274,-2.069,-2.141 to -1.996
  Yan,3.341,1.632,-1.709,-1.792 to -1.625
,,,,
Model,Difference,t,P value,Summary
  TB,-2.069,106.9,P<0.001,***
  Yan,-1.709,76.46,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.343,3.406,0.06328,-0.02042 to 0.1470
  Yan,3.341,3.384,0.04354,-0.04016 to 0.1272
,,,,
Model,Difference,t,P value,Summary
  TB,0.06328,2.832,P<0.01,**
  Yan,0.04354,1.948,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.343,3.357,0.01393,-0.06977 to 0.09762
  Yan,3.341,3.332,-0.008755,-0.09245 to 0.07494
,,,,
Model,Difference,t,P value,Summary
  TB,0.01393,0.6232,P > 0.05,ns
  Yan,-0.008755,0.3918,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.343,3.302,-0.04039,-0.1241 to 0.04331
  Yan,3.341,3.274,-0.06739,-0.1511 to 0.01631
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04039,1.808,P > 0.05,ns
  Yan,-0.06739,3.016,P<0.01,**
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.343,3.226,-0.1171,-0.2008 to -0.03344
  Yan,3.341,3.064,-0.2772,-0.3609 to -0.1935
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1171,5.242,P<0.001,***
  Yan,-0.2772,12.41,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.343,3.106,-0.2370,-0.3207 to -0.1533
  Yan,3.341,2.755,-0.5857,-0.6694 to -0.5020
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2370,10.61,P<0.001,***
  Yan,-0.5857,26.21,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.256,2.876,-0.3796,-0.4633 to -0.2959
  Yan,3.080,2.451,-0.6293,-0.7130 to -0.5456
,,,,
Model,Difference,t,P value,Summary
  TB,-0.3796,16.99,P<0.001,***
  Yan,-0.6293,28.16,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.256,2.367,-0.8887,-0.9724 to -0.8050
  Yan,3.080,1.944,-1.136,-1.220 to -1.053
,,,,
Model,Difference,t,P value,Summary
  TB,-0.8887,39.77,P<0.001,***
  Yan,-1.136,50.85,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.256,1.274,-1.982,-2.054 to -1.909
  Yan,3.080,1.632,-1.448,-1.532 to -1.364
,,,,
Model,Difference,t,P value,Summary
  TB,-1.982,102.4,P<0.001,***
  Yan,-1.448,64.80,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.256,3.406,0.1504,0.06667 to 0.2341
  Yan,3.080,3.384,0.3042,0.2205 to 0.3879
,,,,
Model,Difference,t,P value,Summary
  TB,0.1504,6.729,P<0.001,***
  Yan,0.3042,13.62,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.256,3.357,0.1010,0.01731 to 0.1847
  Yan,3.080,3.332,0.2519,0.1683 to 0.3356
,,,,
Model,Difference,t,P value,Summary
  TB,0.1010,4.520,P<0.001,***
  Yan,0.2519,11.28,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.256,3.302,0.04669,-0.03700 to 0.1304
  Yan,3.080,3.274,0.1933,0.1096 to 0.2770
,,,,
Model,Difference,t,P value,Summary
  TB,0.04669,2.090,P > 0.05,ns
  Yan,0.1933,8.651,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.256,3.226,-0.03005,-0.1138 to 0.05364
  Yan,3.080,3.064,-0.01653,-0.1002 to 0.06717
,,,,
Model,Difference,t,P value,Summary
  TB,-0.03005,1.345,P > 0.05,ns
  Yan,-0.01653,0.7396,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.256,3.106,-0.1499,-0.2336 to -0.06619
  Yan,3.080,2.755,-0.3250,-0.4087 to -0.2413
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1499,6.708,P<0.001,***
  Yan,-0.3250,14.54,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.876,2.367,-0.5091,-0.5928 to -0.4254
  Yan,2.451,1.944,-0.5070,-0.5907 to -0.4233
,,,,
Model,Difference,t,P value,Summary
  TB,-0.5091,22.78,P<0.001,***
  Yan,-0.5070,22.69,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.876,1.274,-1.602,-1.674 to -1.530
  Yan,2.451,1.632,-0.8186,-0.9023 to -0.7349
,,,,
Model,Difference,t,P value,Summary
  TB,-1.602,82.78,P<0.001,***
  Yan,-0.8186,36.63,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,2.876,3.406,0.5300,0.4463 to 0.6137
  Yan,2.451,3.384,0.9336,0.8499 to 1.017
,,,,
Model,Difference,t,P value,Summary
  TB,0.5300,23.72,P<0.001,***
  Yan,0.9336,41.78,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,2.876,3.357,0.4806,0.3969 to 0.5643
  Yan,2.451,3.332,0.8813,0.7976 to 0.9650
,,,,
Model,Difference,t,P value,Summary
  TB,0.4806,21.51,P<0.001,***
  Yan,0.8813,39.44,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.876,3.302,0.4263,0.3426 to 0.5100
  Yan,2.451,3.274,0.8227,0.7390 to 0.9064
,,,,
Model,Difference,t,P value,Summary
  TB,0.4263,19.08,P<0.001,***
  Yan,0.8227,36.81,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.876,3.226,0.3495,0.2658 to 0.4332
  Yan,2.451,3.064,0.6128,0.5291 to 0.6965
,,,,
Model,Difference,t,P value,Summary
  TB,0.3495,15.64,P<0.001,***
  Yan,0.6128,27.42,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.876,3.106,0.2297,0.1460 to 0.3134
  Yan,2.451,2.755,0.3043,0.2206 to 0.3880
,,,,
Model,Difference,t,P value,Summary
  TB,0.2297,10.28,P<0.001,***
  Yan,0.3043,13.62,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.367,1.274,-1.093,-1.165 to -1.020
  Yan,1.944,1.632,-0.3116,-0.3953 to -0.2279
,,,,
Model,Difference,t,P value,Summary
  TB,-1.093,56.47,P<0.001,***
  Yan,-0.3116,13.94,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,2.367,3.406,1.039,0.9554 to 1.123
  Yan,1.944,3.384,1.441,1.357 to 1.524
,,,,
Model,Difference,t,P value,Summary
  TB,1.039,46.50,P<0.001,***
  Yan,1.441,64.47,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,2.367,3.357,0.9897,0.9060 to 1.073
  Yan,1.944,3.332,1.388,1.305 to 1.472
,,,,
Model,Difference,t,P value,Summary
  TB,0.9897,44.29,P<0.001,***
  Yan,1.388,62.13,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,2.367,3.302,0.9354,0.8517 to 1.019
  Yan,1.944,3.274,1.330,1.246 to 1.413
,,,,
Model,Difference,t,P value,Summary
  TB,0.9354,41.86,P<0.001,***
  Yan,1.330,59.50,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,2.367,3.226,0.8587,0.7750 to 0.9424
  Yan,1.944,3.064,1.120,1.036 to 1.204
,,,,
Model,Difference,t,P value,Summary
  TB,0.8587,38.43,P<0.001,***
  Yan,1.120,50.11,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,2.367,3.106,0.7388,0.6551 to 0.8225
  Yan,1.944,2.755,0.8113,0.7276 to 0.8950
,,,,
Model,Difference,t,P value,Summary
  TB,0.7388,33.06,P<0.001,***
  Yan,0.8113,36.31,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.274,3.406,2.132,2.059 to 2.204
  Yan,1.632,3.384,1.752,1.668 to 1.836
,,,,
Model,Difference,t,P value,Summary
  TB,2.132,110.2,P<0.001,***
  Yan,1.752,78.41,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.274,3.357,2.083,2.010 to 2.155
  Yan,1.632,3.332,1.700,1.616 to 1.784
,,,,
Model,Difference,t,P value,Summary
  TB,2.083,107.6,P<0.001,***
  Yan,1.700,76.07,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.274,3.302,2.028,1.956 to 2.101
  Yan,1.632,3.274,1.641,1.558 to 1.725
,,,,
Model,Difference,t,P value,Summary
  TB,2.028,104.8,P<0.001,***
  Yan,1.641,73.45,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.274,3.226,1.952,1.879 to 2.024
  Yan,1.632,3.064,1.431,1.348 to 1.515
,,,,
Model,Difference,t,P value,Summary
  TB,1.952,100.8,P<0.001,***
  Yan,1.431,64.06,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.274,3.106,1.832,1.759 to 1.904
  Yan,1.632,2.755,1.123,1.039 to 1.207
,,,,
Model,Difference,t,P value,Summary
  TB,1.832,94.65,P<0.001,***
  Yan,1.123,50.25,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.406,3.357,-0.04935,-0.1331 to 0.03435
  Yan,3.384,3.332,-0.05229,-0.1360 to 0.03141
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04935,2.209,P > 0.05,ns
  Yan,-0.05229,2.340,P < 0.05,*
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.406,3.302,-0.1037,-0.1874 to -0.01997
  Yan,3.384,3.274,-0.1109,-0.1946 to -0.02723
,,,,
Model,Difference,t,P value,Summary
