Parameter,,,,
Table Analyzed,Intraburst Freq,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.90,55.65,28.75,25.97 to 31.53
  Yan,26.01,28.91,2.896,-0.3097 to 6.102
,,,,
Model,Difference,t,P value,Summary
  TB,28.75,38.75,P<0.001,***
  Yan,2.896,3.384,P<0.01,**
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,26.90,76.47,49.57,46.37 to 52.78
  Yan,26.01,74.72,48.71,45.50 to 51.91
,,,,
Model,Difference,t,P value,Summary
  TB,49.57,57.92,P<0.001,***
  Yan,48.71,56.91,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,26.90,90.60,63.70,60.50 to 66.91
  Yan,26.01,85.15,59.13,55.93 to 62.34
,,,,
Model,Difference,t,P value,Summary
  TB,63.70,74.43,P<0.001,***
  Yan,59.13,69.09,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,26.90,97.89,70.99,67.78 to 74.20
  Yan,26.01,91.92,65.91,62.70 to 69.11
,,,,
Model,Difference,t,P value,Summary
  TB,70.99,82.94,P<0.001,***
  Yan,65.91,77.00,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,26.90,99.97,73.08,69.87 to 76.28
  Yan,26.01,83.34,57.33,54.13 to 60.54
,,,,
Model,Difference,t,P value,Summary
  TB,73.08,85.38,P<0.001,***
  Yan,57.33,66.99,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.90,100.9,74.01,70.80 to 77.21
  Yan,26.01,70.30,44.29,41.08 to 47.49
,,,,
Model,Difference,t,P value,Summary
  TB,74.01,86.47,P<0.001,***
  Yan,44.29,51.74,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.75,27.66,0.9153,-2.290 to 4.121
  Yan,26.90,28.35,1.450,-1.756 to 4.656
,,,,
Model,Difference,t,P value,Summary
  TB,0.9153,1.069,P > 0.05,ns
  Yan,1.450,1.694,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,26.75,74.66,47.91,44.71 to 51.12
  Yan,26.90,74.54,47.64,44.43 to 50.84
,,,,
Model,Difference,t,P value,Summary
  TB,47.91,55.98,P<0.001,***
  Yan,47.64,55.66,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,26.75,78.03,51.28,48.08 to 54.49
  Yan,26.90,58.91,32.01,28.80 to 35.21
,,,,
Model,Difference,t,P value,Summary
  TB,51.28,59.92,P<0.001,***
  Yan,32.01,37.40,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,26.75,58.91,32.17,28.96 to 35.37
  Yan,26.90,37.26,10.36,7.156 to 13.57
,,,,
Model,Difference,t,P value,Summary
  TB,32.17,37.58,P<0.001,***
  Yan,10.36,12.11,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,26.75,42.76,16.02,12.81 to 19.22
  Yan,26.90,30.44,3.542,0.3362 to 6.748
,,,,
Model,Difference,t,P value,Summary
  TB,16.02,18.71,P<0.001,***
  Yan,3.542,4.138,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.75,55.65,28.90,26.12 to 31.68
  Yan,26.90,28.91,2.008,-1.198 to 5.213
,,,,
Model,Difference,t,P value,Summary
  TB,28.90,38.95,P<0.001,***
  Yan,2.008,2.346,P < 0.05,*
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,26.75,76.47,49.72,46.52 to 52.93
  Yan,26.90,74.72,47.82,44.61 to 51.03
,,,,
Model,Difference,t,P value,Summary
  TB,49.72,58.10,P<0.001,***
  Yan,47.82,55.87,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,26.75,90.60,63.86,60.65 to 67.06
  Yan,26.90,85.15,58.24,55.04 to 61.45
,,,,
Model,Difference,t,P value,Summary
  TB,63.86,74.61,P<0.001,***
  Yan,58.24,68.05,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,26.75,97.89,71.14,67.94 to 74.35
  Yan,26.90,91.92,65.02,61.81 to 68.22
,,,,
Model,Difference,t,P value,Summary
  TB,71.14,83.12,P<0.001,***
  Yan,65.02,75.97,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,26.75,99.97,73.23,70.02 to 76.43
  Yan,26.90,83.34,56.44,53.24 to 59.65
,,,,
Model,Difference,t,P value,Summary
  TB,73.23,85.56,P<0.001,***
  Yan,56.44,65.95,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,26.75,100.9,74.16,70.95 to 77.36
  Yan,26.90,70.30,43.40,40.19 to 46.60
,,,,
Model,Difference,t,P value,Summary
  TB,74.16,86.65,P<0.001,***
  Yan,43.40,50.71,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,27.66,74.66,47.00,43.79 to 50.20
  Yan,28.35,74.54,46.19,42.98 to 49.39
,,,,
Model,Difference,t,P value,Summary
  TB,47.00,54.91,P<0.001,***
  Yan,46.19,53.97,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,27.66,78.03,50.37,47.16 to 53.57
  Yan,28.35,58.91,30.56,27.35 to 33.76
,,,,
Model,Difference,t,P value,Summary
  TB,50.37,58.85,P<0.001,***
  Yan,30.56,35.70,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,27.66,58.91,31.25,28.05 to 34.46
  Yan,28.35,37.26,8.911,5.705 to 12.12
,,,,
Model,Difference,t,P value,Summary
  TB,31.25,36.51,P<0.001,***
  Yan,8.911,10.41,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,27.66,42.76,15.10,11.90 to 18.31
  Yan,28.35,30.44,2.092,-1.114 to 5.297
,,,,
Model,Difference,t,P value,Summary
  TB,15.10,17.65,P<0.001,***
  Yan,2.092,2.444,P < 0.05,*
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,27.66,55.65,27.99,25.21 to 30.77
  Yan,28.35,28.91,0.5574,-2.648 to 3.763
,,,,
Model,Difference,t,P value,Summary
  TB,27.99,37.72,P<0.001,***
  Yan,0.5574,0.6513,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,27.66,76.47,48.81,45.60 to 52.02
  Yan,28.35,74.72,46.37,43.16 to 49.58
,,,,
Model,Difference,t,P value,Summary
  TB,48.81,57.03,P<0.001,***
  Yan,46.37,54.18,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,27.66,90.60,62.94,59.73 to 66.15
  Yan,28.35,85.15,56.79,53.59 to 60.00
,,,,
Model,Difference,t,P value,Summary
  TB,62.94,73.54,P<0.001,***
  Yan,56.79,66.36,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,27.66,97.89,70.23,67.02 to 73.43
  Yan,28.35,91.92,63.57,60.36 to 66.77
,,,,
Model,Difference,t,P value,Summary
  TB,70.23,82.05,P<0.001,***
  Yan,63.57,74.27,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,27.66,99.97,72.31,69.11 to 75.52
  Yan,28.35,83.34,54.99,51.79 to 58.20
,,,,
Model,Difference,t,P value,Summary
  TB,72.31,84.49,P<0.001,***
  Yan,54.99,64.25,P<0.001,***
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,27.66,100.9,73.24,70.04 to 76.45
  Yan,28.35,70.30,41.95,38.74 to 45.15
,,,,
Model,Difference,t,P value,Summary
  TB,73.24,85.58,P<0.001,***
  Yan,41.95,49.01,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,74.66,78.03,3.370,0.1639 to 6.575
  Yan,74.54,58.91,-15.63,-18.84 to -12.43
,,,,
Model,Difference,t,P value,Summary
  TB,3.370,3.937,P<0.001,***
  Yan,-15.63,18.26,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,74.66,58.91,-15.75,-18.95 to -12.54
  Yan,74.54,37.26,-37.28,-40.48 to -34.07
,,,,
Model,Difference,t,P value,Summary
  TB,-15.75,18.40,P<0.001,***
  Yan,-37.28,43.55,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,74.66,42.76,-31.89,-35.10 to -28.69
  Yan,74.54,30.44,-44.10,-47.30 to -40.89
,,,,
Model,Difference,t,P value,Summary
  TB,-31.89,37.27,P<0.001,***
  Yan,-44.10,51.52,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,74.66,55.65,-19.01,-21.79 to -16.23
  Yan,74.54,28.91,-45.63,-48.84 to -42.42
,,,,
Model,Difference,t,P value,Summary
  TB,-19.01,25.62,P<0.001,***
  Yan,-45.63,53.31,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,74.66,76.47,1.813,-1.393 to 5.019
  Yan,74.54,74.72,0.1817,-3.024 to 3.387
,,,,
Model,Difference,t,P value,Summary
  TB,1.813,2.118,P > 0.05,ns
  Yan,0.1817,0.2122,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,74.66,90.60,15.94,12.74 to 19.15
  Yan,74.54,85.15,10.61,7.400 to 13.81
,,,,
Model,Difference,t,P value,Summary
  TB,15.94,18.63,P<0.001,***
  Yan,10.61,12.39,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,74.66,97.89,23.23,20.02 to 26.43
  Yan,74.54,91.92,17.38,14.17 to 20.58
,,,,
Model,Difference,t,P value,Summary
  TB,23.23,27.14,P<0.001,***
  Yan,17.38,20.31,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,74.66,99.97,25.31,22.11 to 28.52
  Yan,74.54,83.34,8.804,5.599 to 12.01
,,,,
Model,Difference,t,P value,Summary
  TB,25.31,29.58,P<0.001,***
  Yan,8.804,10.29,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,74.66,100.9,26.25,23.04 to 29.45
  Yan,74.54,70.30,-4.240,-7.445 to -1.034
,,,,
Model,Difference,t,P value,Summary
  TB,26.25,30.67,P<0.001,***
  Yan,-4.240,4.954,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,78.03,58.91,-19.12,-22.32 to -15.91
  Yan,58.91,37.26,-21.65,-24.85 to -18.44
,,,,
Model,Difference,t,P value,Summary
  TB,-19.12,22.33,P<0.001,***
  Yan,-21.65,25.29,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,78.03,42.76,-35.26,-38.47 to -32.06
  Yan,58.91,30.44,-28.46,-31.67 to -25.26
,,,,
Model,Difference,t,P value,Summary
  TB,-35.26,41.20,P<0.001,***
  Yan,-28.46,33.26,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,78.03,55.65,-22.38,-25.16 to -19.60
  Yan,58.91,28.91,-30.00,-33.20 to -26.79
,,,,
Model,Difference,t,P value,Summary
  TB,-22.38,30.16,P<0.001,***
  Yan,-30.00,35.05,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,78.03,76.47,-1.557,-4.763 to 1.649
  Yan,58.91,74.72,15.81,12.61 to 19.02
,,,,
Model,Difference,t,P value,Summary
  TB,-1.557,1.819,P > 0.05,ns
  Yan,15.81,18.48,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,78.03,90.60,12.57,9.368 to 15.78
  Yan,58.91,85.15,26.24,23.03 to 29.44
,,,,
Model,Difference,t,P value,Summary
  TB,12.57,14.69,P<0.001,***
  Yan,26.24,30.66,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,78.03,97.89,19.86,16.65 to 23.06
  Yan,58.91,91.92,33.01,29.80 to 36.22
,,,,
Model,Difference,t,P value,Summary
  TB,19.86,23.20,P<0.001,***
  Yan,33.01,38.57,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,78.03,99.97,21.95,18.74 to 25.15
  Yan,58.91,83.34,24.44,21.23 to 27.64
,,,,
Model,Difference,t,P value,Summary
  TB,21.95,25.64,P<0.001,***
  Yan,24.44,28.55,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,78.03,100.9,22.88,19.67 to 26.08
  Yan,58.91,70.30,11.39,8.186 to 14.60
,,,,
Model,Difference,t,P value,Summary
  TB,22.88,26.73,P<0.001,***
  Yan,11.39,13.31,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,58.91,42.76,-16.15,-19.35 to -12.94
  Yan,37.26,30.44,-6.819,-10.03 to -3.614
,,,,
Model,Difference,t,P value,Summary
  TB,-16.15,18.87,P<0.001,***
  Yan,-6.819,7.968,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,58.91,55.65,-3.263,-6.043 to -0.4843
  Yan,37.26,28.91,-8.354,-11.56 to -5.148
,,,,
Model,Difference,t,P value,Summary
  TB,-3.263,4.398,P<0.001,***
  Yan,-8.354,9.760,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,58.91,76.47,17.56,14.35 to 20.76
  Yan,37.26,74.72,37.46,34.25 to 40.66
,,,,
Model,Difference,t,P value,Summary
  TB,17.56,20.52,P<0.001,***
  Yan,37.46,43.77,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,58.91,90.60,31.69,28.48 to 34.89
  Yan,37.26,85.15,47.88,44.68 to 51.09
,,,,
Model,Difference,t,P value,Summary
  TB,31.69,37.03,P<0.001,***
  Yan,47.88,55.95,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,58.91,97.89,38.97,35.77 to 42.18
  Yan,37.26,91.92,54.66,51.45 to 57.86
,,,,
Model,Difference,t,P value,Summary
  TB,38.97,45.54,P<0.001,***
  Yan,54.66,63.86,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,58.91,99.97,41.06,37.85 to 44.27
  Yan,37.26,83.34,46.08,42.88 to 49.29
,,,,
Model,Difference,t,P value,Summary
  TB,41.06,47.98,P<0.001,***
  Yan,46.08,53.84,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,58.91,100.9,41.99,38.79 to 45.20
  Yan,37.26,70.30,33.04,29.83 to 36.24
,,,,
Model,Difference,t,P value,Summary
  TB,41.99,49.06,P<0.001,***
  Yan,33.04,38.60,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,42.76,55.65,12.89,10.11 to 15.66
  Yan,30.44,28.91,-1.534,-4.740 to 1.671
,,,,
Model,Difference,t,P value,Summary
  TB,12.89,17.37,P<0.001,***
  Yan,-1.534,1.793,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,42.76,76.47,33.71,30.50 to 36.91
  Yan,30.44,74.72,44.28,41.07 to 47.48
,,,,
Model,Difference,t,P value,Summary
  TB,33.71,39.38,P<0.001,***
  Yan,44.28,51.73,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,42.76,90.60,47.84,44.63 to 51.04
  Yan,30.44,85.15,54.70,51.50 to 57.91
,,,,
Model,Difference,t,P value,Summary
  TB,47.84,55.89,P<0.001,***
  Yan,54.70,63.91,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,42.76,97.89,55.12,51.92 to 58.33
  Yan,30.44,91.92,61.47,58.27 to 64.68
,,,,
Model,Difference,t,P value,Summary
  TB,55.12,64.41,P<0.001,***
  Yan,61.47,71.83,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,42.76,99.97,57.21,54.00 to 60.42
  Yan,30.44,83.34,52.90,49.69 to 56.11
,,,,
Model,Difference,t,P value,Summary
  TB,57.21,66.84,P<0.001,***
  Yan,52.90,61.81,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,42.76,100.9,58.14,54.94 to 61.35
  Yan,30.44,70.30,39.86,36.65 to 43.06
,,,,
Model,Difference,t,P value,Summary
  TB,58.14,67.93,P<0.001,***
  Yan,39.86,46.57,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,55.65,76.47,20.82,18.04 to 23.60
  Yan,28.91,74.72,45.81,42.61 to 49.02
,,,,
Model,Difference,t,P value,Summary
  TB,20.82,28.06,P<0.001,***
  Yan,45.81,53.53,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,55.65,90.60,34.95,32.17 to 37.73
  Yan,28.91,85.15,56.24,53.03 to 59.44
,,,,
Model,Difference,t,P value,Summary
  TB,34.95,47.11,P<0.001,***
  Yan,56.24,65.71,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,55.65,97.89,42.24,39.46 to 45.02
  Yan,28.91,91.92,63.01,59.80 to 66.22
,,,,
Model,Difference,t,P value,Summary
  TB,42.24,56.93,P<0.001,***
  Yan,63.01,73.62,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,55.65,99.97,44.32,41.54 to 47.10
  Yan,28.91,83.34,54.43,51.23 to 57.64
,,,,
Model,Difference,t,P value,Summary
  TB,44.32,59.74,P<0.001,***
  Yan,54.43,63.60,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,55.65,100.9,45.26,42.48 to 48.03
  Yan,28.91,70.30,41.39,38.18 to 44.60
,,,,
Model,Difference,t,P value,Summary
  TB,45.26,60.99,P<0.001,***
  Yan,41.39,48.36,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,76.47,90.60,14.13,10.92 to 17.34
  Yan,74.72,85.15,10.42,7.219 to 13.63
,,,,
Model,Difference,t,P value,Summary
  TB,14.13,16.51,P<0.001,***
  Yan,10.42,12.18,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,76.47,97.89,21.42,18.21 to 24.62
  Yan,74.72,91.92,17.20,13.99 to 20.40
,,,,
Model,Difference,t,P value,Summary
  TB,21.42,25.02,P<0.001,***
  Yan,17.20,20.09,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,76.47,99.97,23.50,20.30 to 26.71
  Yan,74.72,83.34,8.623,5.417 to 11.83
,,,,
Model,Difference,t,P value,Summary
  TB,23.50,27.46,P<0.001,***
  Yan,8.623,10.07,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,76.47,100.9,24.43,21.23 to 27.64
  Yan,74.72,70.30,-4.421,-7.627 to -1.216
,,,,
Model,Difference,t,P value,Summary
  TB,24.43,28.55,P<0.001,***
  Yan,-4.421,5.166,P<0.001,***
,,,,
