Parameter,,,,
Table Analyzed,Total Cycle Time,,,
Model,Difference,t,P value,Summary
  TB,0.004562,0.1746,P > 0.05,ns
  Yan,0.009230,0.3533,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.724,3.728,0.003544,-0.09431 to 0.1014
  Yan,3.719,3.726,0.006245,-0.09161 to 0.1041
,,,,
Model,Difference,t,P value,Summary
  TB,0.003544,0.1357,P > 0.05,ns
  Yan,0.006245,0.2391,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.724,3.724,-0.0005310,-0.09838 to 0.09732
  Yan,3.719,3.720,0.0001590,-0.09769 to 0.09801
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0005310,0.02032,P > 0.05,ns
  Yan,0.0001590,0.006087,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.724,3.723,-0.0008380,-0.09869 to 0.09701
  Yan,3.719,3.720,0.0005052,-0.09735 to 0.09836
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0008380,0.03208,P > 0.05,ns
  Yan,0.0005052,0.01934,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.724,1.870,-1.854,-1.939 to -1.769
  Yan,3.719,3.721,0.001589,-0.09626 to 0.09944
,,,,
Model,Difference,t,P value,Summary
  TB,-1.854,81.95,P<0.001,***
  Yan,0.001589,0.06083,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.724,3.729,0.004475,-0.09338 to 0.1023
  Yan,3.719,3.729,0.009319,-0.08853 to 0.1072
,,,,
Model,Difference,t,P value,Summary
  TB,0.004475,0.1713,P > 0.05,ns
  Yan,0.009319,0.3567,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.724,3.729,0.004555,-0.09330 to 0.1024
  Yan,3.719,3.729,0.009315,-0.08854 to 0.1072
,,,,
Model,Difference,t,P value,Summary
  TB,0.004555,0.1744,P > 0.05,ns
  Yan,0.009315,0.3566,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.724,3.729,0.004511,-0.09334 to 0.1024
  Yan,3.719,3.728,0.008694,-0.08916 to 0.1065
,,,,
Model,Difference,t,P value,Summary
  TB,0.004511,0.1727,P > 0.05,ns
  Yan,0.008694,0.3328,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.724,3.728,0.004110,-0.09374 to 0.1020
  Yan,3.719,3.725,0.006094,-0.09176 to 0.1039
,,,,
Model,Difference,t,P value,Summary
  TB,0.004110,0.1573,P > 0.05,ns
  Yan,0.006094,0.2333,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.724,3.727,0.002472,-0.09538 to 0.1003
  Yan,3.719,3.721,0.001950,-0.09590 to 0.09980
,,,,
Model,Difference,t,P value,Summary
  TB,0.002472,0.09462,P > 0.05,ns
  Yan,0.001950,0.07465,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.720,3.717,-0.003053,-0.1009 to 0.09480
  Yan,3.716,3.713,-0.002511,-0.1004 to 0.09534
,,,,
Model,Difference,t,P value,Summary
  TB,-0.003053,0.1169,P > 0.05,ns
  Yan,-0.002511,0.09611,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.720,3.729,0.009131,-0.08872 to 0.1070
  Yan,3.716,3.729,0.01287,-0.08498 to 0.1107
,,,,
Model,Difference,t,P value,Summary
  TB,0.009131,0.3495,P > 0.05,ns
  Yan,0.01287,0.4928,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.720,3.728,0.008113,-0.08974 to 0.1060
  Yan,3.716,3.726,0.009889,-0.08796 to 0.1077
,,,,
Model,Difference,t,P value,Summary
  TB,0.008113,0.3106,P > 0.05,ns
  Yan,0.009889,0.3785,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.720,3.724,0.004038,-0.09381 to 0.1019
  Yan,3.716,3.720,0.003803,-0.09405 to 0.1017
,,,,
Model,Difference,t,P value,Summary
  TB,0.004038,0.1546,P > 0.05,ns
  Yan,0.003803,0.1456,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.720,3.723,0.003731,-0.09412 to 0.1016
  Yan,3.716,3.720,0.004149,-0.09370 to 0.1020
,,,,
Model,Difference,t,P value,Summary
  TB,0.003731,0.1428,P > 0.05,ns
  Yan,0.004149,0.1588,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.720,1.870,-1.849,-1.934 to -1.765
  Yan,3.716,3.721,0.005233,-0.09262 to 0.1031
,,,,
Model,Difference,t,P value,Summary
  TB,-1.849,81.75,P<0.001,***
  Yan,0.005233,0.2003,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.720,3.729,0.009044,-0.08881 to 0.1069
  Yan,3.716,3.729,0.01296,-0.08489 to 0.1108
,,,,
Model,Difference,t,P value,Summary
  TB,0.009044,0.3462,P > 0.05,ns
  Yan,0.01296,0.4962,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.720,3.729,0.009124,-0.08873 to 0.1070
  Yan,3.716,3.729,0.01296,-0.08489 to 0.1108
,,,,
Model,Difference,t,P value,Summary
  TB,0.009124,0.3493,P > 0.05,ns
  Yan,0.01296,0.4961,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.720,3.729,0.009080,-0.08877 to 0.1069
  Yan,3.716,3.728,0.01234,-0.08551 to 0.1102
,,,,
Model,Difference,t,P value,Summary
  TB,0.009080,0.3476,P > 0.05,ns
  Yan,0.01234,0.4723,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.720,3.728,0.008679,-0.08917 to 0.1065
  Yan,3.716,3.725,0.009738,-0.08811 to 0.1076
,,,,
Model,Difference,t,P value,Summary
  TB,0.008679,0.3322,P > 0.05,ns
  Yan,0.009738,0.3728,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.720,3.727,0.007041,-0.09081 to 0.1049
  Yan,3.716,3.721,0.005594,-0.09226 to 0.1034
,,,,
Model,Difference,t,P value,Summary
  TB,0.007041,0.2695,P > 0.05,ns
  Yan,0.005594,0.2141,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.717,3.729,0.01218,-0.08567 to 0.1100
  Yan,3.713,3.729,0.01538,-0.08247 to 0.1132
,,,,
Model,Difference,t,P value,Summary
  TB,0.01218,0.4664,P > 0.05,ns
  Yan,0.01538,0.5889,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.717,3.728,0.01117,-0.08668 to 0.1090
  Yan,3.713,3.726,0.01240,-0.08545 to 0.1103
,,,,
Model,Difference,t,P value,Summary
  TB,0.01117,0.4274,P > 0.05,ns
  Yan,0.01240,0.4747,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.717,3.724,0.007091,-0.09076 to 0.1049
  Yan,3.713,3.720,0.006314,-0.09154 to 0.1042
,,,,
Model,Difference,t,P value,Summary
  TB,0.007091,0.2714,P > 0.05,ns
  Yan,0.006314,0.2417,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.717,3.723,0.006784,-0.09107 to 0.1046
  Yan,3.713,3.720,0.006660,-0.09119 to 0.1045
,,,,
Model,Difference,t,P value,Summary
  TB,0.006784,0.2597,P > 0.05,ns
  Yan,0.006660,0.2549,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.717,1.870,-1.846,-1.931 to -1.762
  Yan,3.713,3.721,0.007744,-0.09011 to 0.1056
,,,,
Model,Difference,t,P value,Summary
  TB,-1.846,81.61,P<0.001,***
  Yan,0.007744,0.2964,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.717,3.729,0.01210,-0.08575 to 0.1099
  Yan,3.713,3.729,0.01547,-0.08238 to 0.1133
,,,,
Model,Difference,t,P value,Summary
  TB,0.01210,0.4631,P > 0.05,ns
  Yan,0.01547,0.5923,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.717,3.729,0.01218,-0.08567 to 0.1100
  Yan,3.713,3.729,0.01547,-0.08238 to 0.1133
,,,,
Model,Difference,t,P value,Summary
  TB,0.01218,0.4661,P > 0.05,ns
  Yan,0.01547,0.5922,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.717,3.729,0.01213,-0.08572 to 0.1100
  Yan,3.713,3.728,0.01485,-0.08300 to 0.1127
,,,,
Model,Difference,t,P value,Summary
  TB,0.01213,0.4644,P > 0.05,ns
  Yan,0.01485,0.5684,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.717,3.728,0.01173,-0.08612 to 0.1096
  Yan,3.713,3.725,0.01225,-0.08560 to 0.1101
,,,,
Model,Difference,t,P value,Summary
  TB,0.01173,0.4491,P > 0.05,ns
  Yan,0.01225,0.4689,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.717,3.727,0.01009,-0.08776 to 0.1079
  Yan,3.713,3.721,0.008105,-0.08975 to 0.1060
,,,,
Model,Difference,t,P value,Summary
  TB,0.01009,0.3864,P > 0.05,ns
  Yan,0.008105,0.3102,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.729,3.728,-0.001018,-0.09887 to 0.09683
  Yan,3.729,3.726,-0.002985,-0.1008 to 0.09487
,,,,
Model,Difference,t,P value,Summary
  TB,-0.001018,0.03897,P > 0.05,ns
  Yan,-0.002985,0.1143,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.729,3.724,-0.005093,-0.1029 to 0.09276
  Yan,3.729,3.720,-0.009071,-0.1069 to 0.08878
,,,,
Model,Difference,t,P value,Summary
  TB,-0.005093,0.1950,P > 0.05,ns
  Yan,-0.009071,0.3472,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.729,3.723,-0.005400,-0.1033 to 0.09245
  Yan,3.729,3.720,-0.008725,-0.1066 to 0.08913
,,,,
Model,Difference,t,P value,Summary
  TB,-0.005400,0.2067,P > 0.05,ns
  Yan,-0.008725,0.3340,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.729,1.870,-1.859,-1.943 to -1.774
  Yan,3.729,3.721,-0.007641,-0.1055 to 0.09021
,,,,
Model,Difference,t,P value,Summary
  TB,-1.859,82.15,P<0.001,***
  Yan,-0.007641,0.2925,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.729,3.729,-0.00008702,-0.09794 to 0.09776
  Yan,3.729,3.729,0.00008893,-0.09776 to 0.09794
,,,,
Model,Difference,t,P value,Summary
  TB,-0.00008702,0.003331,P > 0.05,ns
  Yan,0.00008893,0.003404,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.729,3.729,-0.000006914,-0.09786 to 0.09784
  Yan,3.729,3.729,0.00008488,-0.09777 to 0.09794
,,,,
Model,Difference,t,P value,Summary
  TB,-0.000006914,0.0002647,P > 0.05,ns
  Yan,0.00008488,0.003249,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.729,3.729,-0.00005102,-0.09790 to 0.09780
  Yan,3.729,3.728,-0.0005360,-0.09839 to 0.09731
,,,,
Model,Difference,t,P value,Summary
  TB,-0.00005102,0.001953,P > 0.05,ns
  Yan,-0.0005360,0.02052,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.729,3.728,-0.0004520,-0.09830 to 0.09740
  Yan,3.729,3.725,-0.003136,-0.1010 to 0.09471
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0004520,0.01730,P > 0.05,ns
  Yan,-0.003136,0.1200,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.729,3.727,-0.002090,-0.09994 to 0.09576
  Yan,3.729,3.721,-0.007280,-0.1051 to 0.09057
,,,,
Model,Difference,t,P value,Summary
  TB,-0.002090,0.08000,P > 0.05,ns
  Yan,-0.007280,0.2787,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.728,3.724,-0.004075,-0.1019 to 0.09378
  Yan,3.726,3.720,-0.006086,-0.1039 to 0.09176
,,,,
Model,Difference,t,P value,Summary
  TB,-0.004075,0.1560,P > 0.05,ns
  Yan,-0.006086,0.2330,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.728,3.723,-0.004382,-0.1022 to 0.09347
  Yan,3.726,3.720,-0.005740,-0.1036 to 0.09211
,,,,
Model,Difference,t,P value,Summary
  TB,-0.004382,0.1677,P > 0.05,ns
  Yan,-0.005740,0.2197,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.728,1.870,-1.858,-1.942 to -1.773
  Yan,3.726,3.721,-0.004656,-0.1025 to 0.09319
,,,,
Model,Difference,t,P value,Summary
  TB,-1.858,82.11,P<0.001,***
  Yan,-0.004656,0.1782,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.728,3.729,0.0009310,-0.09692 to 0.09878
  Yan,3.726,3.729,0.003074,-0.09478 to 0.1009
,,,,
Model,Difference,t,P value,Summary
  TB,0.0009310,0.03564,P > 0.05,ns
  Yan,0.003074,0.1177,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.728,3.729,0.001011,-0.09684 to 0.09886
  Yan,3.726,3.729,0.003070,-0.09478 to 0.1009
,,,,
Model,Difference,t,P value,Summary
  TB,0.001011,0.03871,P > 0.05,ns
  Yan,0.003070,0.1175,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.728,3.729,0.0009670,-0.09688 to 0.09882
  Yan,3.726,3.728,0.002449,-0.09540 to 0.1003
,,,,
Model,Difference,t,P value,Summary
  TB,0.0009670,0.03702,P > 0.05,ns
  Yan,0.002449,0.09375,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.728,3.728,0.0005660,-0.09728 to 0.09842
  Yan,3.726,3.725,-0.0001509,-0.09800 to 0.09770
,,,,
Model,Difference,t,P value,Summary
  TB,0.0005660,0.02167,P > 0.05,ns
  Yan,-0.0001509,0.005777,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.728,3.727,-0.001072,-0.09892 to 0.09678
  Yan,3.726,3.721,-0.004295,-0.1021 to 0.09356
,,,,
Model,Difference,t,P value,Summary
  TB,-0.001072,0.04103,P > 0.05,ns
  Yan,-0.004295,0.1644,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.724,3.723,-0.0003071,-0.09816 to 0.09754
  Yan,3.720,3.720,0.0003462,-0.09750 to 0.09820
,,,,
Model,Difference,t,P value,Summary
  TB,-0.0003071,0.01175,P > 0.05,ns
  Yan,0.0003462,0.01325,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.724,1.870,-1.853,-1.938 to -1.769
  Yan,3.720,3.721,0.001430,-0.09642 to 0.09928
,,,,
Model,Difference,t,P value,Summary
  TB,-1.853,81.93,P<0.001,***
  Yan,0.001430,0.05474,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.724,3.729,0.005006,-0.09284 to 0.1029
  Yan,3.720,3.729,0.009160,-0.08869 to 0.1070
,,,,
Model,Difference,t,P value,Summary
  TB,0.005006,0.1916,P > 0.05,ns
  Yan,0.009160,0.3506,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.724,3.729,0.005086,-0.09276 to 0.1029
  Yan,3.720,3.729,0.009156,-0.08869 to 0.1070
,,,,
Model,Difference,t,P value,Summary
  TB,0.005086,0.1947,P > 0.05,ns
  Yan,0.009156,0.3505,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.724,3.729,0.005042,-0.09281 to 0.1029
  Yan,3.720,3.728,0.008535,-0.08932 to 0.1064
,,,,
Model,Difference,t,P value,Summary
  TB,0.005042,0.1930,P > 0.05,ns
  Yan,0.008535,0.3267,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.724,3.728,0.004641,-0.09321 to 0.1025
  Yan,3.720,3.725,0.005935,-0.09192 to 0.1038
,,,,
Model,Difference,t,P value,Summary
  TB,0.004641,0.1776,P > 0.05,ns
  Yan,0.005935,0.2272,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.724,3.727,0.003003,-0.09485 to 0.1009
  Yan,3.720,3.721,0.001791,-0.09606 to 0.09964
,,,,
Model,Difference,t,P value,Summary
  TB,0.003003,0.1149,P > 0.05,ns
  Yan,0.001791,0.06856,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.723,1.870,-1.853,-1.938 to -1.768
  Yan,3.720,3.721,0.001084,-0.09677 to 0.09893
,,,,
Model,Difference,t,P value,Summary
  TB,-1.853,81.91,P<0.001,***
  Yan,0.001084,0.04149,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,3.723,3.729,0.005313,-0.09254 to 0.1032
  Yan,3.720,3.729,0.008814,-0.08904 to 0.1067
,,,,
Model,Difference,t,P value,Summary
  TB,0.005313,0.2034,P > 0.05,ns
  Yan,0.008814,0.3374,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,3.723,3.729,0.005393,-0.09246 to 0.1032
  Yan,3.720,3.729,0.008810,-0.08904 to 0.1067
,,,,
Model,Difference,t,P value,Summary
  TB,0.005393,0.2064,P > 0.05,ns
  Yan,0.008810,0.3372,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,3.723,3.729,0.005349,-0.09250 to 0.1032
  Yan,3.720,3.728,0.008189,-0.08966 to 0.1060
,,,,
Model,Difference,t,P value,Summary
  TB,0.005349,0.2048,P > 0.05,ns
  Yan,0.008189,0.3135,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,3.723,3.728,0.004948,-0.09290 to 0.1028
  Yan,3.720,3.725,0.005589,-0.09226 to 0.1034
,,,,
Model,Difference,t,P value,Summary
  TB,0.004948,0.1894,P > 0.05,ns
  Yan,0.005589,0.2139,P > 0.05,ns
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,3.723,3.727,0.003310,-0.09454 to 0.1012
  Yan,3.720,3.721,0.001445,-0.09641 to 0.09930
,,,,
Model,Difference,t,P value,Summary
  TB,0.003310,0.1267,P > 0.05,ns
  Yan,0.001445,0.05531,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.870,3.729,1.858,1.774 to 1.943
  Yan,3.721,3.729,0.007730,-0.09012 to 0.1056
,,,,
Model,Difference,t,P value,Summary
  TB,1.858,82.15,P<0.001,***
  Yan,0.007730,0.2959,P > 0.05,ns
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
