Parameter,,,,
Table Analyzed,Peaks Interval,,,
  Yan,0.1024,16.15,P<0.001,***
  TB,0.09503,14.60,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02520,0.09720,0.07200,0.05030 to 0.09370
  TB,0.03294,0.1001,0.06719,0.04456 to 0.08981
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07200,12.69,P<0.001,***
  TB,0.06719,11.35,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02520,0.07854,0.05334,0.03337 to 0.07331
  TB,0.03294,0.07406,0.04111,0.02083 to 0.06140
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05334,10.21,P<0.001,***
  TB,0.04111,7.749,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02520,0.06865,0.04345,0.02447 to 0.06244
  TB,0.03294,0.06379,0.03084,0.01157 to 0.05012
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04345,8.752,P<0.001,***
  TB,0.03084,6.118,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02520,0.06145,0.03626,0.01802 to 0.05449
  TB,0.03294,0.05784,0.02489,0.006232 to 0.04356
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03626,7.603,P<0.001,***
  TB,0.02489,5.100,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02520,0.1432,0.1180,0.09251 to 0.1434
  TB,0.03294,0.1492,0.1162,0.08974 to 0.1427
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1180,17.72,P<0.001,***
  TB,0.1162,16.78,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02520,0.1092,0.08397,0.06123 to 0.1067
  TB,0.03294,0.1093,0.07638,0.05298 to 0.09978
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08397,14.12,P<0.001,***
  TB,0.07638,12.48,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02520,0.08824,0.06304,0.04215 to 0.08394
  TB,0.03294,0.08835,0.05541,0.03381 to 0.07701
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06304,11.54,P<0.001,***
  TB,0.05541,9.808,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02520,0.06692,0.04172,0.02290 to 0.06054
  TB,0.03294,0.07345,0.04050,0.02028 to 0.06073
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04172,8.475,P<0.001,***
  TB,0.04050,7.657,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02520,0.05440,0.02921,0.01171 to 0.04670
  TB,0.03294,0.05887,0.02592,0.007136 to 0.04471
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02921,6.382,P<0.001,***
  TB,0.02592,5.276,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02346,0.09693,0.07347,0.05197 to 0.09498
  TB,0.02969,0.1086,0.07886,0.05581 to 0.1019
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07347,13.06,P<0.001,***
  TB,0.07886,13.08,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02346,0.07509,0.05164,0.03219 to 0.07108
  TB,0.02969,0.08567,0.05597,0.03494 to 0.07701
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05164,10.15,P<0.001,***
  TB,0.05597,10.17,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02346,0.06129,0.03783,0.01980 to 0.05586
  TB,0.02969,0.07008,0.04038,0.02082 to 0.05995
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03783,8.023,P<0.001,***
  TB,0.04038,7.893,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02346,0.05186,0.02841,0.01141 to 0.04540
  TB,0.02969,0.06017,0.03047,0.01191 to 0.04904
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02841,6.391,P<0.001,***
  TB,0.03047,6.276,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02346,0.04557,0.02212,0.005846 to 0.03839
  TB,0.02969,0.05251,0.02282,0.005062 to 0.04057
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02212,5.197,P<0.001,***
  TB,0.02282,4.914,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02346,0.1276,0.1042,0.08007 to 0.1283
  TB,0.02969,0.1280,0.09828,0.07365 to 0.1229
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1042,16.52,P<0.001,***
  TB,0.09828,15.26,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02346,0.09720,0.07374,0.05220 to 0.09529
  TB,0.02969,0.1001,0.07044,0.04809 to 0.09279
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07374,13.09,P<0.001,***
  TB,0.07044,12.05,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02346,0.07854,0.05508,0.03528 to 0.07489
  TB,0.02969,0.07406,0.04436,0.02439 to 0.06434
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05508,10.63,P<0.001,***
  TB,0.04436,8.491,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02346,0.06865,0.04519,0.02639 to 0.06400
  TB,0.02969,0.06379,0.03409,0.01514 to 0.05304
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04519,9.188,P<0.001,***
  TB,0.03409,6.879,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02346,0.06145,0.03800,0.01995 to 0.05605
  TB,0.02969,0.05784,0.02814,0.009818 to 0.04647
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03800,8.050,P<0.001,***
  TB,0.02814,5.872,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.02346,0.1432,0.1197,0.09438 to 0.1450
  TB,0.02969,0.1492,0.1195,0.09323 to 0.1457
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1197,18.07,P<0.001,***
  TB,0.1195,17.41,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.02346,0.1092,0.08571,0.06312 to 0.1083
  TB,0.02969,0.1093,0.07963,0.05650 to 0.1028
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08571,14.51,P<0.001,***
  TB,0.07963,13.16,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.02346,0.08824,0.06479,0.04405 to 0.08552
  TB,0.02969,0.08835,0.05866,0.03735 to 0.07997
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06479,11.95,P<0.001,***
  TB,0.05866,10.53,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.02346,0.06692,0.04346,0.02482 to 0.06211
  TB,0.02969,0.07345,0.04375,0.02384 to 0.06367
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04346,8.913,P<0.001,***
  TB,0.04375,8.400,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.02346,0.05440,0.03095,0.01364 to 0.04825
  TB,0.02969,0.05887,0.02917,0.01072 to 0.04763
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03095,6.838,P<0.001,***
  TB,0.02917,6.045,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.09693,0.07509,-0.02184,-0.04754 to 0.003868
  TB,0.1086,0.08567,-0.02289,-0.05021 to 0.004429
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02184,3.248,P<0.01,**
  TB,-0.02289,3.204,P<0.01,**
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.09693,0.06129,-0.03564,-0.06029 to -0.01099
  TB,0.1086,0.07008,-0.03848,-0.06468 to -0.01228
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03564,5.528,P<0.001,***
  TB,-0.03848,5.615,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.09693,0.05186,-0.04507,-0.06897 to -0.02116
  TB,0.1086,0.06017,-0.04839,-0.07385 to -0.02292
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.04507,7.208,P<0.001,***
  TB,-0.04839,7.265,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.09693,0.04557,-0.05136,-0.07475 to -0.02796
  TB,0.1086,0.05251,-0.05604,-0.08093 to -0.03116
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.05136,8.393,P<0.001,***
  TB,-0.05604,8.612,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.09693,0.1276,0.03071,0.001311 to 0.06011
  TB,0.1086,0.1280,0.01941,-0.01076 to 0.04959
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03071,3.994,P<0.001,***
  TB,0.01941,2.460,P < 0.05,*
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.09693,0.09720,0.0002699,-0.02706 to 0.02760
  TB,0.1086,0.1001,-0.008426,-0.03677 to 0.01992
,,,,
Model,Difference,t,P value,Summary
  Yan,0.0002699,0.03776,P > 0.05,ns
  TB,-0.008426,1.137,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.09693,0.07854,-0.01839,-0.04437 to 0.007588
  TB,0.1086,0.07406,-0.03450,-0.06101 to -0.007990
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01839,2.707,P < 0.05,*
  TB,-0.03450,4.976,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.09693,0.06865,-0.02828,-0.05351 to -0.003052
  TB,0.1086,0.06379,-0.04477,-0.07052 to -0.01902
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02828,4.286,P<0.001,***
  TB,-0.04477,6.649,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.09693,0.06145,-0.03548,-0.06014 to -0.01081
  TB,0.1086,0.05784,-0.05072,-0.07601 to -0.02543
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03548,5.499,P<0.001,***
  TB,-0.05072,7.668,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.09693,0.1432,0.04623,0.01583 to 0.07663
  TB,0.1086,0.1492,0.04060,0.009102 to 0.07210
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04623,5.815,P<0.001,***
  TB,0.04060,4.928,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.09693,0.1092,0.01224,-0.01592 to 0.04040
  TB,0.1086,0.1093,0.0007665,-0.02819 to 0.02973
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01224,1.662,P > 0.05,ns
  TB,0.0007665,0.1012,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.09693,0.08824,-0.008688,-0.03538 to 0.01800
  TB,0.1086,0.08835,-0.02020,-0.04773 to 0.007326
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.008688,1.245,P > 0.05,ns
  TB,-0.02020,2.806,P < 0.05,*
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.09693,0.06692,-0.03001,-0.05512 to -0.004906
  TB,0.1086,0.07345,-0.03511,-0.06158 to -0.008645
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03001,4.571,P<0.001,***
  TB,-0.03511,5.073,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.09693,0.05440,-0.04253,-0.06665 to -0.01840
  TB,0.1086,0.05887,-0.04969,-0.07507 to -0.02430
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.04253,6.739,P<0.001,***
  TB,-0.04969,7.485,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.07509,0.06129,-0.01381,-0.03668 to 0.009068
  TB,0.08567,0.07008,-0.01559,-0.04003 to 0.008856
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01381,2.308,P < 0.05,*
  TB,-0.01559,2.438,P < 0.05,*
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.07509,0.05186,-0.02323,-0.04530 to -0.001162
  TB,0.08567,0.06017,-0.02550,-0.04915 to -0.001846
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02323,4.025,P<0.001,***
  TB,-0.02550,4.122,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.07509,0.04557,-0.02952,-0.05103 to -0.008007
  TB,0.08567,0.05251,-0.03315,-0.05618 to -0.01013
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02952,5.247,P<0.001,***
  TB,-0.03315,5.506,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.07509,0.1276,0.05254,0.02462 to 0.08047
  TB,0.08567,0.1280,0.04230,0.01364 to 0.07097
,,,,
Model,Difference,t,P value,Summary
  Yan,0.05254,7.195,P<0.001,***
  TB,0.04230,5.644,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.07509,0.09720,0.02211,-0.003631 to 0.04784
  TB,0.08567,0.1001,0.01446,-0.01226 to 0.04119
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02211,3.284,P<0.01,**
  TB,0.01446,2.069,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.07509,0.07854,0.003444,-0.02085 to 0.02774
  TB,0.08567,0.07406,-0.01161,-0.03639 to 0.01316
,,,,
Model,Difference,t,P value,Summary
  Yan,0.003444,0.5420,P > 0.05,ns
  TB,-0.01161,1.792,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.07509,0.06865,-0.006442,-0.02993 to 0.01705
  TB,0.08567,0.06379,-0.02188,-0.04583 to 0.002076
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.006442,1.049,P > 0.05,ns
  TB,-0.02188,3.492,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.07509,0.06145,-0.01364,-0.03653 to 0.009249
  TB,0.08567,0.05784,-0.02783,-0.05129 to -0.004364
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01364,2.278,P < 0.05,*
  TB,-0.02783,4.535,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.07509,0.1432,0.06807,0.03909 to 0.09704
  TB,0.08567,0.1492,0.06349,0.03344 to 0.09355
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06807,8.983,P<0.001,***
  TB,0.06349,8.078,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.07509,0.1092,0.03408,0.007459 to 0.06069
  TB,0.08567,0.1093,0.02366,-0.003724 to 0.05104
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03408,4.895,P<0.001,***
  TB,0.02366,3.304,P<0.01,**
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.07509,0.08824,0.01315,-0.01191 to 0.03821
  TB,0.08567,0.08835,0.002686,-0.02318 to 0.02855
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01315,2.006,P > 0.05,ns
  TB,0.002686,0.3971,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.07509,0.06692,-0.008176,-0.03154 to 0.01519
  TB,0.08567,0.07345,-0.01222,-0.03695 to 0.01251
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.008176,1.338,P > 0.05,ns
  TB,-0.01222,1.890,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.07509,0.05440,-0.02069,-0.04300 to 0.001618
  TB,0.08567,0.05887,-0.02680,-0.05036 to -0.003233
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02069,3.546,P<0.001,***
  TB,-0.02680,4.348,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.06129,0.05186,-0.009424,-0.03026 to 0.01141
  TB,0.07008,0.06017,-0.009911,-0.03226 to 0.01244
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.009424,1.730,P > 0.05,ns
  TB,-0.009911,1.695,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.06129,0.04557,-0.01572,-0.03596 to 0.004529
  TB,0.07008,0.05251,-0.01757,-0.03925 to 0.004119
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.01572,2.968,P<0.01,**
  TB,-0.01757,3.097,P<0.01,**
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.06129,0.1276,0.06635,0.03939 to 0.09331
  TB,0.07008,0.1280,0.05789,0.03029 to 0.08549
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06635,9.411,P<0.001,***
  TB,0.05789,8.021,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.06129,0.09720,0.03591,0.01123 to 0.06060
  TB,0.07008,0.1001,0.03005,0.004470 to 0.05563
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03591,5.562,P<0.001,***
  TB,0.03005,4.492,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.06129,0.07854,0.01725,-0.005932 to 0.04043
  TB,0.07008,0.07406,0.003977,-0.01956 to 0.02751
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01725,2.845,P<0.01,**
  TB,0.003977,0.6461,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.06129,0.06865,0.007363,-0.01497 to 0.02970
  TB,0.07008,0.06379,-0.006292,-0.02896 to 0.01638
,,,,
Model,Difference,t,P value,Summary
  Yan,0.007363,1.260,P > 0.05,ns
  TB,-0.006292,1.061,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,0.06129,0.06145,0.0001657,-0.02153 to 0.02187
  TB,0.07008,0.05784,-0.01224,-0.03439 to 0.009912
,,,,
Model,Difference,t,P value,Summary
  Yan,0.0001657,0.02919,P > 0.05,ns
  TB,-0.01224,2.113,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,0.06129,0.1432,0.08187,0.05383 to 0.1099
  TB,0.07008,0.1492,0.07908,0.05004 to 0.1081
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08187,11.16,P<0.001,***
  TB,0.07908,10.41,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,0.06129,0.1092,0.04788,0.02228 to 0.07348
  TB,0.07008,0.1093,0.03924,0.01298 to 0.06551
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04788,7.151,P<0.001,***
  TB,0.03924,5.713,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,0.06129,0.08824,0.02695,0.002976 to 0.05093
  TB,0.07008,0.08835,0.01827,-0.006405 to 0.04295
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02695,4.298,P<0.001,***
  TB,0.01827,2.831,P<0.01,**
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,0.06129,0.06692,0.005629,-0.01657 to 0.02783
  TB,0.07008,0.07345,0.003367,-0.02012 to 0.02685
,,,,
Model,Difference,t,P value,Summary
