Parameter,,,,
Table Analyzed,Peaks Amplitude,,,
  Yan,0.004452,0.5229,P > 0.05,ns
  TB,-0.1415,15.94,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.354,5.436,0.08220,0.05224 to 0.1122
  TB,5.402,5.515,0.1127,0.08224 to 0.1431
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08220,10.49,P<0.001,***
  TB,0.1127,14.16,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.354,5.463,0.1091,0.08063 to 0.1376
  TB,5.402,5.584,0.1819,0.1529 to 0.2108
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1091,14.65,P<0.001,***
  TB,0.1819,24.05,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.354,5.488,0.1338,0.1064 to 0.1611
  TB,5.402,5.504,0.1021,0.07411 to 0.1301
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1338,18.70,P<0.001,***
  TB,0.1021,13.95,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.354,5.353,-0.0005488,-0.03873 to 0.03764
  TB,5.402,5.415,0.01301,-0.02670 to 0.05273
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.0005488,0.05496,P > 0.05,ns
  TB,0.01301,1.253,P > 0.05,ns
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.354,4.925,-0.4291,-0.4632 to -0.3950
  TB,5.402,4.800,-0.6019,-0.6370 to -0.5668
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4291,48.10,P<0.001,***
  TB,-0.6019,65.57,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.354,4.696,-0.6582,-0.6896 to -0.6269
  TB,5.402,4.126,-1.276,-1.309 to -1.244
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6582,80.31,P<0.001,***
  TB,-1.276,150.6,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.354,5.129,-0.2247,-0.2529 to -0.1964
  TB,5.402,3.648,-1.754,-1.784 to -1.723
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2247,30.42,P<0.001,***
  TB,-1.754,221.0,P<0.001,***
,,,,
eL=-50.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.354,5.460,0.1063,0.08007 to 0.1326
  TB,5.402,3.870,-1.532,-1.560 to -1.504
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1063,15.49,P<0.001,***
  TB,-1.532,207.9,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.363,5.293,-0.07035,-0.1026 to -0.03809
  TB,5.414,5.356,-0.05856,-0.09314 to -0.02397
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.07035,8.337,P<0.001,***
  TB,-0.05856,6.474,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.363,5.333,-0.03003,-0.05920 to -0.0008607
  TB,5.414,5.400,-0.01364,-0.04519 to 0.01792
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.03003,3.936,P<0.001,***
  TB,-0.01364,1.652,P > 0.05,ns
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.363,5.362,-0.001586,-0.02863 to 0.02546
  TB,5.414,5.434,0.02009,-0.009256 to 0.04944
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.001586,0.2242,P > 0.05,ns
  TB,0.02009,2.618,P < 0.05,*
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.363,5.381,0.01792,-0.007581 to 0.04341
  TB,5.414,5.458,0.04428,0.01643 to 0.07214
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01792,2.687,P < 0.05,*
  TB,0.04428,6.080,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=4.2,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.363,5.395,0.03209,0.007678 to 0.05649
  TB,5.414,5.474,0.05989,0.03325 to 0.08653
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03209,5.026,P<0.001,***
  TB,0.05989,8.597,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.363,5.309,-0.05403,-0.09020 to -0.01786
  TB,5.414,5.333,-0.08097,-0.1179 to -0.04403
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.05403,5.711,P<0.001,***
  TB,-0.08097,8.380,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.363,5.358,-0.004745,-0.03707 to 0.02758
  TB,5.414,5.261,-0.1533,-0.1869 to -0.1198
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.004745,0.5613,P > 0.05,ns
  TB,-0.1533,17.49,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.363,5.436,0.07300,0.04329 to 0.1027
  TB,5.414,5.515,0.1008,0.07083 to 0.1308
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07300,9.395,P<0.001,***
  TB,0.1008,12.86,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.363,5.463,0.09991,0.07170 to 0.1281
  TB,5.414,5.584,0.1700,0.1416 to 0.1984
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09991,13.54,P<0.001,***
  TB,0.1700,22.86,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.363,5.488,0.1246,0.09750 to 0.1517
  TB,5.414,5.504,0.09024,0.06275 to 0.1177
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1246,17.59,P<0.001,***
  TB,0.09024,12.55,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.363,5.353,-0.009746,-0.04773 to 0.02824
  TB,5.414,5.415,0.001142,-0.03821 to 0.04050
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.009746,0.9810,P > 0.05,ns
  TB,0.001142,0.1109,P > 0.05,ns
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.363,4.925,-0.4383,-0.4722 to -0.4044
  TB,5.414,4.800,-0.6138,-0.6485 to -0.5791
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4383,49.45,P<0.001,***
  TB,-0.6138,67.64,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.363,4.696,-0.6674,-0.6985 to -0.6363
  TB,5.414,4.126,-1.288,-1.320 to -1.256
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6674,82.06,P<0.001,***
  TB,-1.288,154.1,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.363,5.129,-0.2339,-0.2618 to -0.2059
  TB,5.414,3.648,-1.766,-1.796 to -1.736
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2339,31.97,P<0.001,***
  TB,-1.766,226.0,P<0.001,***
,,,,
eL=-50.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-50.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.363,5.460,0.09712,0.07116 to 0.1231
  TB,5.414,3.870,-1.544,-1.572 to -1.516
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09712,14.30,P<0.001,***
  TB,-1.544,213.3,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.293,5.333,0.04032,0.001763 to 0.07888
  TB,5.356,5.400,0.04492,0.003939 to 0.08590
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04032,3.998,P<0.001,***
  TB,0.04492,4.191,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.293,5.362,0.06876,0.03178 to 0.1057
  TB,5.356,5.434,0.07865,0.03934 to 0.1180
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06876,7.110,P<0.001,***
  TB,0.07865,7.651,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.293,5.381,0.08826,0.05240 to 0.1241
  TB,5.356,5.458,0.1028,0.06464 to 0.1410
,,,,
Model,Difference,t,P value,Summary
  Yan,0.08826,9.411,P<0.001,***
  TB,0.1028,10.29,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.293,5.395,0.1024,0.06734 to 0.1375
  TB,5.356,5.474,0.1184,0.08112 to 0.1558
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1024,11.16,P<0.001,***
  TB,0.1184,12.13,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.293,5.309,0.01632,-0.02778 to 0.06042
  TB,5.356,5.333,-0.02242,-0.06768 to 0.02284
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01632,1.415,P > 0.05,ns
  TB,-0.02242,1.894,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.293,5.358,0.06560,0.02461 to 0.1066
  TB,5.356,5.261,-0.09479,-0.1373 to -0.05227
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06560,6.119,P<0.001,***
  TB,-0.09479,8.524,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.293,5.436,0.1434,0.1044 to 0.1823
  TB,5.356,5.515,0.1594,0.1196 to 0.1991
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1434,14.06,P<0.001,***
  TB,0.1594,15.32,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.293,5.463,0.1703,0.1324 to 0.2081
  TB,5.356,5.584,0.2285,0.1899 to 0.2672
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1703,17.20,P<0.001,***
  TB,0.2285,22.63,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.293,5.488,0.1949,0.1579 to 0.2319
  TB,5.356,5.504,0.1488,0.1109 to 0.1867
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1949,20.14,P<0.001,***
  TB,0.1488,15.00,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.293,5.353,0.06060,0.01501 to 0.1062
  TB,5.356,5.415,0.05970,0.01245 to 0.1069
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06060,5.082,P<0.001,***
  TB,0.05970,4.831,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.293,4.925,-0.3679,-0.4102 to -0.3257
  TB,5.356,4.800,-0.5552,-0.5987 to -0.5118
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.3679,33.30,P<0.001,***
  TB,-0.5552,48.87,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.293,4.696,-0.5971,-0.6371 to -0.5570
  TB,5.356,4.126,-1.230,-1.271 to -1.188
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.5971,57.02,P<0.001,***
  TB,-1.230,113.9,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.293,5.129,-0.1635,-0.2012 to -0.1259
  TB,5.356,3.648,-1.707,-1.747 to -1.667
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.1635,16.60,P<0.001,***
  TB,-1.707,164.4,P<0.001,***
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.293,5.460,0.1675,0.1313 to 0.2037
  TB,5.356,3.870,-1.486,-1.524 to -1.447
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1675,17.69,P<0.001,***
  TB,-1.486,149.2,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.333,5.362,0.02844,-0.005871 to 0.06275
  TB,5.400,5.434,0.03373,-0.002942 to 0.07039
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02844,3.169,P<0.01,**
  TB,0.03373,3.517,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.333,5.381,0.04794,0.01484 to 0.08105
  TB,5.400,5.458,0.05792,0.02244 to 0.09340
,,,,
Model,Difference,t,P value,Summary
  Yan,0.04794,5.537,P<0.001,***
  TB,0.05792,6.241,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.333,5.395,0.06211,0.02984 to 0.09439
  TB,5.400,5.474,0.07353,0.03899 to 0.1081
,,,,
Model,Difference,t,P value,Summary
  Yan,0.06211,7.359,P<0.001,***
  TB,0.07353,8.140,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.333,5.309,-0.02400,-0.06588 to 0.01788
  TB,5.400,5.333,-0.06734,-0.1103 to -0.02435
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.02400,2.191,P > 0.05,ns
  TB,-0.06734,5.989,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.333,5.358,0.02528,-0.01333 to 0.06389
  TB,5.400,5.261,-0.1397,-0.1798 to -0.09961
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02528,2.504,P < 0.05,*
  TB,-0.1397,13.32,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.333,5.436,0.1030,0.06658 to 0.1395
  TB,5.400,5.515,0.1144,0.07727 to 0.1516
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1030,10.81,P<0.001,***
  TB,0.1144,11.77,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.333,5.463,0.1299,0.09470 to 0.1652
  TB,5.400,5.584,0.1836,0.1477 to 0.2196
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1299,14.10,P<0.001,***
  TB,0.1836,19.54,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.333,5.488,0.1546,0.1203 to 0.1889
  TB,5.400,5.504,0.1039,0.06868 to 0.1391
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1546,17.22,P<0.001,***
  TB,0.1039,11.28,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.333,5.353,0.02028,-0.02318 to 0.06374
  TB,5.400,5.415,0.01478,-0.03030 to 0.05986
,,,,
Model,Difference,t,P value,Summary
  Yan,0.02028,1.784,P > 0.05,ns
  TB,0.01478,1.253,P > 0.05,ns
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.333,4.925,-0.4082,-0.4482 to -0.3683
  TB,5.400,4.800,-0.6001,-0.6412 to -0.5591
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4082,39.09,P<0.001,***
  TB,-0.6001,55.87,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.333,4.696,-0.6374,-0.6750 to -0.5998
  TB,5.400,4.126,-1.275,-1.313 to -1.236
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6374,64.83,P<0.001,***
  TB,-1.275,125.6,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.333,5.129,-0.2038,-0.2389 to -0.1688
  TB,5.400,3.648,-1.752,-1.789 to -1.715
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2038,22.24,P<0.001,***
  TB,-1.752,180.6,P<0.001,***
,,,,
eL=-55.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.333,5.460,0.1271,0.09369 to 0.1606
  TB,5.400,3.870,-1.530,-1.566 to -1.495
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1271,14.53,P<0.001,***
  TB,-1.530,165.5,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.362,5.381,0.01950,-0.01175 to 0.05075
  TB,5.434,5.458,0.02419,-0.009339 to 0.05772
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01950,2.386,P < 0.05,*
  TB,0.02419,2.759,P < 0.05,*
,,,,
eL=-55.0 gnaps=3.0 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.362,5.395,0.03367,0.003301 to 0.06404
  TB,5.434,5.474,0.03980,0.007270 to 0.07233
,,,,
Model,Difference,t,P value,Summary
  Yan,0.03367,4.239,P<0.001,***
  TB,0.03980,4.678,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.362,5.309,-0.05244,-0.09288 to -0.01201
  TB,5.434,5.333,-0.1011,-0.1425 to -0.05967
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.05244,4.959,P<0.001,***
  TB,-0.1011,9.334,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.362,5.358,-0.003159,-0.04019 to 0.03387
  TB,5.434,5.261,-0.1734,-0.2118 to -0.1351
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.003159,0.3262,P > 0.05,ns
  TB,-0.1734,17.28,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.362,5.436,0.07459,0.03981 to 0.1094
  TB,5.434,5.515,0.08070,0.04540 to 0.1160
,,,,
Model,Difference,t,P value,Summary
  Yan,0.07459,8.201,P<0.001,***
  TB,0.08070,8.740,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.362,5.463,0.1015,0.06799 to 0.1350
  TB,5.434,5.584,0.1499,0.1159 to 0.1839
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1015,11.58,P<0.001,***
  TB,0.1499,16.85,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.362,5.488,0.1262,0.09361 to 0.1587
  TB,5.434,5.504,0.07015,0.03692 to 0.1034
,,,,
Model,Difference,t,P value,Summary
  Yan,0.1262,14.82,P<0.001,***
  TB,0.07015,8.071,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Yan,5.362,5.353,-0.008160,-0.05023 to 0.03391
  TB,5.434,5.415,-0.01895,-0.06251 to 0.02461
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.008160,0.7417,P > 0.05,ns
  TB,-0.01895,1.663,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Yan,5.362,4.925,-0.4367,-0.4751 to -0.3983
  TB,5.434,4.800,-0.6339,-0.6733 to -0.5945
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.4367,43.47,P<0.001,***
  TB,-0.6339,61.51,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Yan,5.362,4.696,-0.6658,-0.7018 to -0.6299
  TB,5.434,4.126,-1.308,-1.345 to -1.271
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.6658,70.78,P<0.001,***
  TB,-1.308,135.1,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Yan,5.362,5.129,-0.2323,-0.2656 to -0.1990
  TB,5.434,3.648,-1.786,-1.821 to -1.751
,,,,
Model,Difference,t,P value,Summary
  Yan,-0.2323,26.67,P<0.001,***
  TB,-1.786,193.8,P<0.001,***
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.362,5.460,0.09871,0.06708 to 0.1303
  TB,5.434,3.870,-1.564,-1.598 to -1.531
,,,,
Model,Difference,t,P value,Summary
  Yan,0.09871,11.93,P<0.001,***
  TB,-1.564,179.1,P<0.001,***
,,,,
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
Model,eL=-55.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Yan,5.381,5.395,0.01417,-0.01483 to 0.04317
  TB,5.458,5.474,0.01561,-0.01558 to 0.04680
,,,,
Model,Difference,t,P value,Summary
  Yan,0.01417,1.868,P > 0.05,ns
  TB,0.01561,1.913,P > 0.05,ns
,,,,
