Parameter,,,,
Table Analyzed,Burst Duration,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.3859,1.356,0.9705,0.9343 to 1.007
  Yan,0.3877,1.776,1.389,1.352 to 1.425
,,,,
Model,Difference,t,P value,Summary
  TB,0.9705,98.63,P<0.001,***
  Yan,1.389,141.1,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.3859,0.5957,0.2098,0.1784 to 0.2412
  Yan,0.3877,2.089,1.701,1.665 to 1.737
,,,,
Model,Difference,t,P value,Summary
  TB,0.2098,24.59,P<0.001,***
  Yan,1.701,172.9,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.3859,0.3226,-0.06335,-0.09957 to -0.02714
  Yan,0.3877,0.3442,-0.04344,-0.07965 to -0.007225
,,,,
Model,Difference,t,P value,Summary
  TB,-0.06335,6.439,P<0.001,***
  Yan,-0.04344,4.414,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.3859,0.3720,-0.01393,-0.05014 to 0.02228
  Yan,0.3877,0.3965,0.008858,-0.02735 to 0.04507
,,,,
Model,Difference,t,P value,Summary
  TB,-0.01393,1.416,P > 0.05,ns
  Yan,0.008858,0.9002,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.3859,0.4263,0.04034,0.004125 to 0.07655
  Yan,0.3877,0.4546,0.06688,0.03066 to 0.1031
,,,,
Model,Difference,t,P value,Summary
  TB,0.04034,4.099,P<0.001,***
  Yan,0.06688,6.796,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.3859,0.5028,0.1168,0.08063 to 0.1531
  Yan,0.3877,0.6621,0.2744,0.2382 to 0.3106
,,,,
Model,Difference,t,P value,Summary
  TB,0.1168,11.87,P<0.001,***
  Yan,0.2744,27.89,P<0.001,***
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.3859,0.6209,0.2349,0.1987 to 0.2711
  Yan,0.3877,0.9662,0.5785,0.5423 to 0.6148
,,,,
Model,Difference,t,P value,Summary
  TB,0.2349,23.87,P<0.001,***
  Yan,0.5785,58.80,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.4720,0.8476,0.3756,0.3393 to 0.4118
  Yan,0.6454,1.269,0.6233,0.5871 to 0.6595
,,,,
Model,Difference,t,P value,Summary
  TB,0.3756,38.17,P<0.001,***
  Yan,0.6233,63.35,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.4720,1.356,0.8844,0.8482 to 0.9206
  Yan,0.6454,1.776,1.131,1.095 to 1.167
,,,,
Model,Difference,t,P value,Summary
  TB,0.8844,89.88,P<0.001,***
  Yan,1.131,114.9,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.4720,0.5957,0.1237,0.09232 to 0.1551
  Yan,0.6454,2.089,1.443,1.407 to 1.480
,,,,
Model,Difference,t,P value,Summary
  TB,0.1237,14.50,P<0.001,***
  Yan,1.443,146.7,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.4720,0.3226,-0.1494,-0.1856 to -0.1132
  Yan,0.6454,0.3442,-0.3012,-0.3374 to -0.2650
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1494,15.19,P<0.001,***
  Yan,-0.3012,30.61,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.4720,0.3720,-0.1000,-0.1362 to -0.06379
  Yan,0.6454,0.3965,-0.2489,-0.2851 to -0.2127
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1000,10.16,P<0.001,***
  Yan,-0.2489,25.29,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.4720,0.4263,-0.04573,-0.08195 to -0.009521
  Yan,0.6454,0.4546,-0.1909,-0.2271 to -0.1547
,,,,
Model,Difference,t,P value,Summary
  TB,-0.04573,4.648,P<0.001,***
  Yan,-0.1909,19.40,P<0.001,***
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.4720,0.5028,0.03077,-0.005442 to 0.06698
  Yan,0.6454,0.6621,0.01663,-0.01958 to 0.05285
,,,,
Model,Difference,t,P value,Summary
  TB,0.03077,3.127,P<0.01,**
  Yan,0.01663,1.690,P > 0.05,ns
,,,,
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.4720,0.6209,0.1488,0.1126 to 0.1851
  Yan,0.6454,0.9662,0.3208,0.2846 to 0.3570
,,,,
Model,Difference,t,P value,Summary
  TB,0.1488,15.13,P<0.001,***
  Yan,0.3208,32.60,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.8476,1.356,0.5088,0.4726 to 0.5451
  Yan,1.269,1.776,0.5075,0.4713 to 0.5438
,,,,
Model,Difference,t,P value,Summary
  TB,0.5088,51.71,P<0.001,***
  Yan,0.5075,51.58,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.8476,0.5957,-0.2518,-0.2832 to -0.2205
  Yan,1.269,2.089,0.8200,0.7838 to 0.8562
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2518,29.52,P<0.001,***
  Yan,0.8200,83.34,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.8476,0.3226,-0.5250,-0.5612 to -0.4888
  Yan,1.269,0.3442,-0.9245,-0.9607 to -0.8883
,,,,
Model,Difference,t,P value,Summary
  TB,-0.5250,53.35,P<0.001,***
  Yan,-0.9245,93.96,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.8476,0.3720,-0.4756,-0.5118 to -0.4393
  Yan,1.269,0.3965,-0.8722,-0.9084 to -0.8360
,,,,
Model,Difference,t,P value,Summary
  TB,-0.4756,48.33,P<0.001,***
  Yan,-0.8722,88.64,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.8476,0.4263,-0.4213,-0.4575 to -0.3851
  Yan,1.269,0.4546,-0.8142,-0.8504 to -0.7780
,,,,
Model,Difference,t,P value,Summary
  TB,-0.4213,42.81,P<0.001,***
  Yan,-0.8142,82.75,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.8476,0.5028,-0.3448,-0.3810 to -0.3086
  Yan,1.269,0.6621,-0.6067,-0.6429 to -0.5705
,,,,
Model,Difference,t,P value,Summary
  TB,-0.3448,35.04,P<0.001,***
  Yan,-0.6067,61.66,P<0.001,***
,,,,
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.8476,0.6209,-0.2267,-0.2629 to -0.1905
  Yan,1.269,0.9662,-0.3025,-0.3388 to -0.2663
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2267,23.04,P<0.001,***
  Yan,-0.3025,30.75,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.356,0.5957,-0.7607,-0.7921 to -0.7293
  Yan,1.776,2.089,0.3125,0.2763 to 0.3487
,,,,
Model,Difference,t,P value,Summary
  TB,-0.7607,89.17,P<0.001,***
  Yan,0.3125,31.76,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,1.356,0.3226,-1.034,-1.070 to -0.9976
  Yan,1.776,0.3442,-1.432,-1.468 to -1.396
,,,,
Model,Difference,t,P value,Summary
  TB,-1.034,105.1,P<0.001,***
  Yan,-1.432,145.5,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,1.356,0.3720,-0.9844,-1.021 to -0.9482
  Yan,1.776,0.3965,-1.380,-1.416 to -1.344
,,,,
Model,Difference,t,P value,Summary
  TB,-0.9844,100.0,P<0.001,***
  Yan,-1.380,140.2,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,1.356,0.4263,-0.9301,-0.9663 to -0.8939
  Yan,1.776,0.4546,-1.322,-1.358 to -1.286
,,,,
Model,Difference,t,P value,Summary
  TB,-0.9301,94.53,P<0.001,***
  Yan,-1.322,134.3,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,1.356,0.5028,-0.8536,-0.8898 to -0.8174
  Yan,1.776,0.6621,-1.114,-1.150 to -1.078
,,,,
Model,Difference,t,P value,Summary
  TB,-0.8536,86.75,P<0.001,***
  Yan,-1.114,113.2,P<0.001,***
,,,,
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,1.356,0.6209,-0.7356,-0.7718 to -0.6993
  Yan,1.776,0.9662,-0.8101,-0.8463 to -0.7739
,,,,
Model,Difference,t,P value,Summary
  TB,-0.7356,74.75,P<0.001,***
  Yan,-0.8101,82.33,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  TB,0.5957,0.3226,-0.2731,-0.3045 to -0.2417
  Yan,2.089,0.3442,-1.745,-1.781 to -1.708
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2731,32.02,P<0.001,***
  Yan,-1.745,177.3,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.5957,0.3720,-0.2237,-0.2551 to -0.1923
  Yan,2.089,0.3965,-1.692,-1.728 to -1.656
,,,,
Model,Difference,t,P value,Summary
  TB,-0.2237,26.23,P<0.001,***
  Yan,-1.692,172.0,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.5957,0.4263,-0.1694,-0.2008 to -0.1381
  Yan,2.089,0.4546,-1.634,-1.670 to -1.598
,,,,
Model,Difference,t,P value,Summary
  TB,-0.1694,19.86,P<0.001,***
  Yan,-1.634,166.1,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.5957,0.5028,-0.09294,-0.1243 to -0.06155
  Yan,2.089,0.6621,-1.427,-1.463 to -1.391
,,,,
Model,Difference,t,P value,Summary
  TB,-0.09294,10.90,P<0.001,***
  Yan,-1.427,145.0,P<0.001,***
,,,,
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-60.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.5957,0.6209,0.02513,-0.006259 to 0.05653
  Yan,2.089,0.9662,-1.123,-1.159 to -1.086
,,,,
Model,Difference,t,P value,Summary
  TB,0.02513,2.946,P<0.01,**
  Yan,-1.123,114.1,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  TB,0.3226,0.3720,0.04942,0.01321 to 0.08563
  Yan,0.3442,0.3965,0.05230,0.01608 to 0.08851
,,,,
Model,Difference,t,P value,Summary
  TB,0.04942,5.023,P<0.001,***
  Yan,0.05230,5.315,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.3226,0.4263,0.1037,0.06748 to 0.1399
  Yan,0.3442,0.4546,0.1103,0.07410 to 0.1465
,,,,
Model,Difference,t,P value,Summary
  TB,0.1037,10.54,P<0.001,***
  Yan,0.1103,11.21,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.3226,0.5028,0.1802,0.1440 to 0.2164
  Yan,0.3442,0.6621,0.3178,0.2816 to 0.3540
,,,,
Model,Difference,t,P value,Summary
  TB,0.1802,18.31,P<0.001,***
  Yan,0.3178,32.30,P<0.001,***
,,,,
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.3226,0.6209,0.2983,0.2621 to 0.3345
  Yan,0.3442,0.9662,0.6220,0.5858 to 0.6582
,,,,
Model,Difference,t,P value,Summary
  TB,0.2983,30.31,P<0.001,***
  Yan,0.6220,63.21,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  TB,0.3720,0.4263,0.05427,0.01806 to 0.09048
  Yan,0.3965,0.4546,0.05802,0.02181 to 0.09423
,,,,
Model,Difference,t,P value,Summary
  TB,0.05427,5.515,P<0.001,***
  Yan,0.05802,5.896,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.3720,0.5028,0.1308,0.09456 to 0.1670
  Yan,0.3965,0.6621,0.2655,0.2293 to 0.3017
,,,,
Model,Difference,t,P value,Summary
  TB,0.1308,13.29,P<0.001,***
  Yan,0.2655,26.98,P<0.001,***
,,,,
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=2.4,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.3720,0.6209,0.2489,0.2126 to 0.2851
  Yan,0.3965,0.9662,0.5697,0.5335 to 0.6059
,,,,
Model,Difference,t,P value,Summary
  TB,0.2489,25.29,P<0.001,***
  Yan,0.5697,57.90,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  TB,0.4263,0.5028,0.07650,0.04029 to 0.1127
  Yan,0.4546,0.6621,0.2075,0.1713 to 0.2437
,,,,
Model,Difference,t,P value,Summary
  TB,0.07650,7.775,P<0.001,***
  Yan,0.2075,21.09,P<0.001,***
,,,,
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.4263,0.6209,0.1946,0.1584 to 0.2308
  Yan,0.4546,0.9662,0.5117,0.4755 to 0.5479
,,,,
Model,Difference,t,P value,Summary
  TB,0.1946,19.77,P<0.001,***
  Yan,0.5117,52.00,P<0.001,***
,,,,
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
Model,eL=-65.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  TB,0.5028,0.6209,0.1181,0.08187 to 0.1543
  Yan,0.6621,0.9662,0.3042,0.2679 to 0.3404
,,,,
Model,Difference,t,P value,Summary
  TB,0.1181,12.00,P<0.001,***
  Yan,0.3042,30.91,P<0.001,***
